pooling,mean_macro_f1,best_macro_f1,mean_test_accuracy,mean_param_count,n_experiments
avg,0.7358775263639314,0.7713824620523342,0.7347916662693024,1007550.0,8
max,0.7361448973202149,0.7891029230446035,0.7359999939799309,1007550.0,8
